mp-1008528,B2AsP,3,4,False,True,51.2840712082363,4.128914746628101,-6.053746525,-0.1961027238095232,0.054517932829482814
mp-1009084,BeSnAs2,3,8,False,True,181.6783711455989,5.073891295449107,-4.442030945,-0.1798499537499998,0.4682500000000498
mp-1009085,BeSiP2,3,8,False,True,134.6096568726488,2.443634953225416,-5.37147102875,-0.37412721803571447,0.141305
mp-1009129,MgO,2,2,False,True,20.031950589405273,3.3410141156784365,-5.64617564,-2.7248949472916664,0.31588582287195566
mp-10097,Na3Sr3GaAs4,4,22,False,True,618.3953999616714,3.7659861337896317,-3.6141364395454545,-0.8262059909090909,0.5245367315069558
mp-1013527,BeGeP2,3,8,False,True,142.40321984336222,3.348982111609706,-5.06595571,-0.27008165553571484,0.11779999999999996
mp-1013911,Na2CoP2O7,4,48,True,True,637.920695241727,2.903504298090866,-6.530296184166667,-2.4965467000744055,0.27030499999999996
mp-1016108,TiZnN2,3,16,False,True,196.896776603425,4.766285536725132,-7.30544844625,-1.0405839911899992,1.0711529772166066
mp-1018093,CaGaGeH,4,4,False,True,71.6754046645721,4.2500510201819335,-3.6878523325,-0.4666520959049998,0.6244313126607893
mp-10182,LiZnP,3,3,False,True,47.76454743477722,3.59206042504543,-3.413117226666667,-0.5525607867460322,0.6904899999999987
mp-1019323,Th2HN3,3,6,False,True,86.36416875339815,9.750180742557934,-8.504943435,-1.517465147626666,4.959721236117809
mp-1019380,Al3BN4,3,8,False,True,75.09189463984231,3.267975485748486,-7.52905413375,-1.313303273481666,0.15565000000000004
mp-1019791,K2Zn(PO3)4,4,38,False,True,545.2609334326855,2.798685041397362,-6.609306372105263,-2.6050228158045114,0.6642757764226246
mp-1019794,K3LiP2O7,4,26,False,True,394.3227734200881,2.511334752869644,-6.207395121923077,-2.6853682220430413,0.09419000000000001
mp-10223,Na2PdS2,3,10,False,True,205.8889288302528,3.492715748582136,-4.0533082810000005,-1.103925744250001,0.09963
mp-1023924,MoS2,2,3,False,True,153.7205764342924,1.7291275527217187,-7.236762006666667,-1.3062237154166674,0.2981868917427232
mp-1023934,MoSe2,2,3,False,True,169.91292803248118,2.4809438903543346,-6.617718553333333,-0.6718991882291666,0.3035644582353794
mp-1023936,WSe2,2,3,False,True,167.87404723741068,3.3805453055398273,-7.206082103333333,-0.5560989615624999,0.21274719978414988
mp-1023937,WS2,2,3,False,True,150.77782511940194,2.730931192453011,-7.893558746666667,-1.258856678750001,0.2109087581078111
mp-10246,Na2PtS2,3,10,False,True,206.86975610763758,4.899563813194005,-4.257866926,-1.1296002352499996,0.15732571849510177
mp-1027443,Te2Mo3W(SeS2)2,5,12,False,True,365.4087866330211,4.603590637712333,-6.844771000000001,-0.7893196522656254,3.952199221274074
mp-10281,ZnS,2,8,False,True,162.05739900344298,3.995112432515869,-3.50789659125,-1.1416713553125,0.12136389372461809
mp-1029334,Zn2SbN3,3,12,False,True,160.91440427747764,6.080147372217486,-5.125644965833334,-0.041422072856666624,0.7445749527079191
mp-1029403,RbGe2N3,3,12,False,True,166.57624252464186,5.438251457038499,-5.9082319025,-0.22940291994000006,0.496730535703212
mp-1029418,KSi2N3,3,12,False,True,137.5582363101334,3.3145875462403263,-7.070994312500001,-1.1018948425233337,0.20937347730789582
mp-1029469,ZnSnN2,3,16,False,True,223.1871745439005,6.31316082689345,-5.445291045625,-0.15611605556499963,1.0695680322915413
mp-1029522,Li7SbN4,3,96,False,True,980.837915019784,3.065970650415322,-4.657849685416667,-0.5494039930155559,0.26995333333333343
mp-1029679,BaGe7N10,3,36,False,True,516.4872444197325,5.053268872059304,-6.645802621666666,-0.32545405965555496,1.5508214268291518
mp-1029938,K3W2N5,3,40,False,True,812.9746941508988,4.5345230170565305,-7.57950897975,-0.6785279078399995,0.5233630237225401
mp-1039,MgTe,2,4,False,True,138.26178168678,3.648791152462321,-3.2474264975,-0.8773280741666665,0.2703795321395513
mp-10572,NaPN2,3,8,False,True,88.25304273316463,3.08489975085431,-6.4853591575,-0.8277458470828565,1.4106899999999993
mp-10614,SrLiP,3,3,False,True,68.04032151257377,3.063703529672271,-3.907034063333333,-0.9031374073015872,0.877187206711006
mp-10623,ThSbRh,3,3,False,True,76.17758835597232,9.95534392009308,-7.35533259,-1.0615434583333336,0.2359666666666668
mp-1070,CdSe,2,4,False,True,119.89334983280395,5.301028239964859,-2.827854935,-0.6267978061718749,0.22112044410230888
mp-10955,Sn(HgSe2)2,3,7,False,True,211.34870202547214,6.566221029982688,-2.92022301,-0.2654803056249995,0.24031193613717974
mp-10990,Al4CN3O,4,18,False,True,244.78207424397544,2.4144208664785314,-6.632617147777777,-0.8201554620433321,1.143748141280568
